Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"Blandford-Blenheim, Tp",By-law 2436-2024,Yes,See SECTION 3 - APPLICABLE LANDS (3) a)(3) This by-law shall not apply to: (a) Farm Buildings as defined herein; (b) Non-Residential Buildings as defined herein;,2025-06-05,,https://www.blandfordblenheim.ca/news/posts/notice-of-passing-of-municipal-wide-development-charges-by-law-amendment/,,,,,,,BY-LAW NUMBER 1915-2015,No,,2015-07-08,,https://www.blandfordblenheim.ca/en/township/resources/By-Laws/1915-2015RegulateFillCouncilJuly82015.pdf,BY-LAW NUMBER 2275-2021,Yes,a dog that works and/or lives with domestic farm animals to protect them while repelling predators and is used exclusively for that purpose;,Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm;,No,No,Yes,No,"34.4.If more than three livestock guardian dogs or herding dogs are required, written permission must be obtained from the Township office.",2020-03-18,,https://www.blandfordblenheim.ca/en/township/resources/By-Laws/Consolidated-2275-2021-Animal-Care-and-Control.pdf,,,,,,,,,https://www.blandfordblenheim.ca/en/township/resources/By-Laws/Consolidated-2275-2021-Animal-Care-and-Control.pdf,,,,,,,YES,YES,NO,YES,YES,NO,https://www.blandfordblenheim.ca/media/2mdiepcx/2015-2019-fence.pdf
"Blind River, T",,,,,,,,,,,,,,,,,,,BY-LAW NO. 19-26,No,,No,,No,Yes,No,,"none for agricultural purposes, 4 otherwise",2019-04-15,,https://www.blindriver.ca/en/town-hall/resources/Documents/19-26-Regulate-Animals.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Bluewater, M",By-law 86-2022,Yes,"the development of non-residential farm buildings constructed for bona fide farm uses, being that which operates with a valid Farm Business Registration Number and is assessed in the Farmland Realty Tax Class.",2022-08-11,2027-08-19,https://www.municipalityofbluewater.ca/media/zuchw2wd/20220811-cs-bl-86-2022-development-charges-by-law.pdf,,,,,,,,,,,,,By-law 34-2015,Yes,"a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them by repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,Yes,No,none for agricultural,2015-03-16,,https://www.municipalityofbluewater.ca/municipal-office/by-laws/animal-control-by-law/,,,,,,,,,,,Other,,,,SEE HURON COUNTY BYLAWhttp://SEE HURON COUNTY BYLAW,NO,,,,,,
"Bonfield, Tp",,,,,,,,,,,,,,,,,,,BY-LAW 2024-29,Yes,“Farm Dog” or “Farm Cat” means a dog that is trained and kept for the purpose of controlling or protecting livestock and poultry or a cat that is kept for the purpose of rodent control within a privately owned barn or farm building,No,,No,No,Yes,No,2 (farm dogs exempt from this limit),2024-04-30,,https://bonfieldtownship.com/uploads/Animal%20Control/8.b%202024-29%20Animal%20Control%20By-law-5.pdf,,,,,,,,,,,,,,,,YES,YES,NO,NO,NO,NO,"https://bonfieldtownship.com/uploads/documents/By-Laws,%20Policies%20&amp;%20Plans/2004-29-Prescribing-Fence-Heights.pdf"
"Bonnechere Valley, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NUMBER 2005-36,No,,No,,No,Yes,Yes,No,,2005-06-13,,https://www.bonnecherevalleytwp.com/download.php?dl=YToyOntzOjI6ImlkIjtzOjI6IjUzIjtzOjM6ImtleSI7aTo0O30=,BY-LAW NUMBER 2005-36 Pet By-law,No,,,,,,,https://www.bonnecherevalleytwp.com/download.php?dl=YToyOntzOjI6ImlkIjtzOjI6IjUzIjtzOjM6ImtleSI7aTo0O30=,,,,,,,NO,,,,,,
"Bracebridge, Tp",BY-LAW NO. 2024-034,Yes,9.3. Non-residential farm buildings constructed for bona fide farm uses.,2024-06-12,,https://bracebridge.civicweb.net/document/29189/,,,,,,,,,,,,,BY-LAW NO. 2013-078,No,,No,,No,Yes,No,,none,2014-01-22,,https://bracebridge.civicweb.net/document/13301/,BY-LAW NO. 2002-76Exotic and Wild Animal Control,No,,,,,,,https://bracebridge.civicweb.net/document/10855/,BY-LAW NO. 2008-130,Yes,"9. Other Exempt Activities 9.2. The injury or destruction of trees, subject to the Farming and Food Production Protection Act, 1998, to continue or enlarge an agricultural operation. For the purposes of this Section, agricultural operations include tree farms of any kind;",2008-12-22,,https://bracebridge.civicweb.net/document/2702/,YES,YES,NO,YES,YES,NO,https://www.bracebridge.ca/town-services/building-services/building-a-fence/
"Bradford West Gwillimbury, Tp",By-law 2025-87,Yes,"EXEMPTIONS FOR CERTAIN BUILDINGS18. 1) d) a non-residential farm building, save and except for the gross floor area within a greenhouse that is used for the purposes of carrying on retail sales",2025-09-03,,https://www.townofbwg.com/Website-Documents/4_Town-Hall/Budget-and-Finances/DC-Pamphlet-Sep-3-2025.pdf,,,,,,,By-Law 2017-33,No,,2017-04-04,2027-04-04,https://www.townofbwg.com/en/town-hall/fill-and-site-alteration-by-law-2017-33.aspx18-Force-and-Effect,By-Law Number 2019-109,No,,No,,No,Yes,Yes,No,NOT KNOWN,2019-12-17,,https://www.townofbwg.com/en/town-hall/animal-control-by-law.aspx,Animal Control By-law - Backyard Chickens,,,2019-12-17,,,,,https://www.townofbwg.com/en/town-hall/animal-control-by-law.aspxBackyard-Chickens,tree canopy avail,,,,,,YES,NO,YES,YES,YES,YES,https://www.townofbwg.com/en/town-hall/fences.aspx
"Brampton, C",BY-LAWNumber 133-2019,Yes,"21. Agricultural uses, as well as farm buildings and other ancillary development to an agricultural use, excluding any residential or commercial uses, shall be exempt from the provisions of this by-law.",2025-08-01,2024-06-19,https://www.brampton.ca/EN/Business/planning-development/Development-Charges/Documents/Development%20Charges/Current%20Development%20Charges.pdf,BY-LAW 82-2020,No,"SCHEDULE ""A""total stormwater billing unit x $89",2020-05-27,,https://www1.brampton.ca/EN/residents/Stormwater/documents/by-law-82-2020.pdf,By-law 143-95,No,,,,https://www1.brampton.ca/EN/City-Hall/Bylaws/All%20Bylaws/Fill%20By-law%20143-95.pdf,By-law 201-2023,Yes,"a Dog that works and/or lives with domestic farm Animals, including but not limited to sheep, cattle, and poultry, to protect them while repelling predators and is used exclusively for that purpose;",Yes,a Dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm;,No,No,No,,NOT KNOWN,2023-11-22,,https://www1.brampton.ca/EN/City-Hall/Bylaws/All%20Bylaws/Animal%20Services%20By-law%20201-2023.pdf,By-law 201-2023Animal Services,Yes,"2 with no license, 10 with license",2023-11-22,,No,Other,2;3;4;5,https://www1.brampton.ca/EN/City-Hall/Bylaws/All%20Bylaws/Animal%20Services%20By-law%20201-2023.pdf,By-law 317-2012,No,,2012-11-14,,https://www1.brampton.ca/EN/City-Hall/Bylaws/All%20Bylaws/Trees.pdf,YES,YES,YES,Other,Other,YES,(n/a – available via City Clerk)
"Brant, Co",BY-LAW NUMBER 109-24,Yes,This by-law shall not apply to land that is owned by and used for the purposes of: (c) a non-residential farm building;(d) a farm bunk house.,2024-06-05,,https://www.brant.ca/en/planning-and-Development/Bylaw-109-24-Development-Charges.pdf,,,,,,,BY-LAW NUMBER 87-24,Yes,"This By-law does not apply to:  k) the removal of Topsoil as an incidental part of a Normal Farm Practice as defined in the Farming and Food Production Protection Act, 1998, S.O. 1998, c.1., including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products but not including the removal of Topsoil for sale, exchange or other disposition; l) replacement of Topsoil for restoration of Agricultural Lands used for normal agricultural practices and which is an incidental part of sod farming, greenhouse operations, and nurseries for horticultural practices and which shall not exceed one thousand (1,000) cubic metres annually and which shall not result in a landform change of more than 0.2m, or at the discretion of the Director; m)the placement or Dumping of Fill as a nutrient management activity for agricultural practices in compliance with the Nutrient Management Act, 2002;",2024-09-24,,"https://www.brant.ca/en/bylaws-and-animal-services/resources/Documents/2024-09-24-Site-Alteration-Bylaw-Update.pdf:~:text=%5BPDF%5D%202024%2009%2024%20Site,2%29%20of%20the",BY-LAW NUMBER 174-10,No,,No,,No,Yes,No,,"6the person is keeping sheep upon the same premises, the premises is on land that is zoned agricultural, the person provides proof of registration issued in their name by the Ontario Sheep Marketing Agency, and the number of dogs being kept at the premises does not exceed six (6) dogs, unless it can be demonstrated by the person that a greater number than six (6) dogs is necessary to provide adequate protection for the sheep being kept at the premises.",2010-08-10,,https://www.brant.ca/en/bylaws-and-animal-services/resources/Documents/Animal-Bylaw---County-of-Brant.pdf,,,,,,,,,https://www.brant.ca/en/news/engage-with-us-we-re-developing-regulations-for-keeping-chickens-in-residential-areas.aspx,BY-LAW NUMBER 70-21,Yes,"Other Exemptions: iv. The injury or destruction of a tree where land has been previously cleared as part of an agricultural operation which has become overgrown with young early-successional tree species (e.g. sumac, hawthorn, apple, scots pine, poplar, white birch, ash) that are less than 10 years old and have a dbh of less than 10 cm, provided that the land is to be used as part of an agricultural operation",,,https://www.brant.ca/en/bylaws-and-animal-services/resources/Documents/Good-Forestry-Practices-By-Law.pdf,YES,YES,YES,YES,YES,NO,https://www.brant.ca/en/bylaws-and-animal-services/resources/Documents/Fence-By-Law.pdf
"Brantford, C",Bylaw No. 210-2021,Yes,261.5.3 Farm building This Chapter shall not apply to land that is owned by and used for the purposes of the development of a farm building as defined in this Chapter.,2021-10-26,2026-10-26,https://www.brantford.ca/Modules/Bylaws/Bylaw/Download/9b79a3bd-848b-4cb2-8952-8afa3c10adbb,,,,,,,BY-LAW NUMBER 29-2023,Yes,"SECTION 4 - EXEMPTIONS 4.1 The provisions of this by-law shall not apply to: 4.1.11 replacement of Topsoil for restoration of Agricultural Lands used for normal agricultural practices and which is an incidental part of sod farming , greenhouse operations, and nurseries for horticultural practices and which shall not exceed one thousand (1000) cubic metres annually and which shall not result in a landform change of more than 0.2m, or at the discretion of the Director;  where ""Agricultural Lands"" includes all lands that are used by a farming business registered under the Farm Registration and Farm Organizations Funding Act, 1993",2023-02-28,2033-02-28,https://www.brantford.ca/Modules/Bylaws/Bylaw/Download/9d402ae1-f189-4570-9da9-32d769ae7927,By-law 29-2018,No,,No,,No,Yes,No,,NOT KNOWN,2018-02-27,,https://www.brantford.ca/Modules/Bylaws/Bylaw/Download/03bf4867-02bb-4f61-8499-4be0634bacca,ANIMALS Chapter 206Article 10: CHICKENS - KEEPING,Yes,10 chickens; 1 rooster maximum,2005-05-24,,Yes,Yes,2;3;4;5,https://www.brantford.ca/Modules/Bylaws/Bylaw/Download/03bf4867-02bb-4f61-8499-4be0634bacca,By-law Number 171-2002 amended  119-2017,No,,2017-08-22,,https://www.brantford.ca/Modules/Bylaws/Bylaw/Download/a8d76abe-c0c4-433d-aeb3-0f020a7bf343,YES,YES,NO,YES,YES,NO,https://www.brantford.ca/Modules/Bylaws/Bylaw/Details/228d8ecb-3d0e-49c3-80aa-cdf47c6a9d76
"Brethour, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Brighton, M",By-Law No. 015-2025,No,,2025-02-05,,https://www.brighton.ca/en/municipal-services/resources/By-Laws/DC-Bylaw-and-Report/015-2025-Development-Charges.pdf,,,,,,,By-Law 114-2016,No,,2016-11-07,,https://www.brighton.ca/en/municipal-services/resources/By-law-114-2016-Fill-By-law.pdf,By-Law No. 052-2020,No,,No,,No,Yes,Yes,No,NOT KNOWN,2020-06-01,,https://www.brighton.ca/en/municipal-services/resources/By-law-052-2020-Regulate-Dog-Control.pdf,By-Law No. 012-2021,Yes,6,2021-02-08,,No,NOT KNOWN,Yes,https://www.brighton.ca/en/municipal-services/resources/By-Laws/By-Law-012-2021-Regulate-the-Keeping-of-Backyard-Hens.pdf,BY-LAW NUMBER 369-2006,No,none,2006-03-20,,given by emailhttp://given by email,YES,YES,YES,YES,YES,YES,https://www.brighton.ca/en/municipal-services/resources/Documents/Planning-Documents/Notices-of-Complete-Applications/By-law-003-2021.pdf
"Brock, Tp",By-law Number 3274-2024,Yes,"22. Categories of Exemptions(g) development of Farm Buildings; where ""Farm Building"" means used as part of or in connection wit a bona fide farming operation, but excluding a Residential Use.",2024-06-10,2034-06-17,"https://www.townshipofbrock.ca/media/455bwlvp/3274-2024-development-charges-bylaw-accessible.pdf:~:text=and%20whereas%20by%20Council%20Resolution,development%20charges%20or%20other%20similar",,,,,,,BY-LAW NUMBER 2633-2015AMENDED BY:BY-LAW NUMBER 2703-2016-PP,Yes,"Section 3 - Exemptions 3.01 This By-law is not applicable to the following: (j) the removal of topsoil or fill from agricultural lands incidental to a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products. This exception does not include the removal of topsoil for sale, exchange or other disposition;",2016-12-05,,https://www.townshipofbrock.ca/Modules/Bylaws/Bylaw/Download/f8ba8705-ce8f-4aae-a584-1cd419f2b300,BY-LAW NUMBER 2446-2012-PP,No,,No,,No,No,No,No,"53 normally, +2 employed for protection of livestock in Rural Zones provided lot is minimum of 4 hectares.",2013-11-04,,https://www.townshipofbrock.ca/Modules/Bylaws/Bylaw/Download/0edd252b-29d1-469b-b567-59e5e94df310,,No,,,,,,,,,,,,,,YES,YES,YES,YES,YES,YES,https://www.townshipofbrock.ca/Modules/Bylaws/Bylaw/Download/44c41c01-fd09-47f0-9262-a8d9cd02b0e0
"Brockton, M",By-Law 2024-096,Yes,"Other Exemptions 3.10 Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: 3.10.2 The development of non-residential farm buildings constructed for bona fide farm uses.",2024-12-10,2034-01-14,,,,,,,,,,,,,,By-Law 2020-082,No,,No,,No,Yes,No,,5(f) an agricultural location with a valid farm registration number and registered with the Municipality may keep a maximum of five (5) working livestock guardian dogs.,2020-07-14,,https://www.brockton.ca/en/our-services/resources/By-laws/2020/By-Law-2020-082---Dog-Control-By-Law-Set-Fines-Included.pdf,,,,,,,,,,,,,,,,YES,YES,NO,,,NO,https://www.brockton.ca/media/rd1frjvq/by-law-2024-077-line-fences-act-fence-viewing-by-law.pdf
"Brockville, C",Bylaw Number: 083-2025,No,,2025-11-25,2045-11-25,https://brockville.com/wp-content/uploads/2023/03/2025-Development-Charges-Bylaw-083-2025.pdf,,,,,,,,,,,,,By-Law No. 7-82Consolidated 2017,No,,No,,No,Yes,Yes,No,NOT KNOWN,1982-01-26,,https://brockville.com/wp-content/uploads/2023/03/Animal_Control_bylaw_007-1982_-1.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Brooke-Alvinston, M",,,,,,,,,,,,,,,,,,,By-law Number 5 of 2017,No,,Yes,a dog that has been trained and is actively being used in a bon fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,Yes,Yes,No,2017-01-26,,https://brookealvinston.com/wp-content/uploads/2019/09/Animal-Licencing-.pdf,,,,,,,,,,,,,,,,YES,YES,NO,NO,,NO,https://brookealvinston.com/wp-content/uploads/2019/09/Construction-of-fences.pdf
"Bruce Mines, T",,,,,,,,,,,,,,,,,,,BYLAW NO. 2004-23,No,,No,,No,Yes,Yes,No,NOT KNOWN,2004-06-07,,https://brucemines.ca/documents/assets/uploads/files/en/2004_-_dog_bylaw.pdf,,,,,,,,,,,,,,,,NO,,,,,,
"Bruce, Co",By-Law No. 2023-048,Yes,"3.8 Other Exemptions/Reductions3.8.4 Agricultural use, where ""agricultural use"" means use or intended use for bona fide farming purpose and has a farm business registration number, but excluding a residental use.",2023-11-16,,https://www.brucecounty.on.ca/sites/default/files/By-law%202023-048%20-%20Development%20Charges%20By-law.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By-Law No. 4015,No,,2003-05-08,,https://acrobat.adobe.com/id/urn:aaid:sc:US:4cbd66c2-7d75-417c-ab00-a8b3cb3785ff,NO,,,,,,
"Brudenell, Lyndoch and Raglan, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Burkâ€™s Falls, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 8-2017,No,,No,,No,Yes,Yes,No,NOT KNOWN,2017-05-23,,https://irp-cdn.multiscreensite.com/55929d1f/files/uploaded/2017-08.pdf,BY-LAW NO. 17–2017Care of Poultry Livestock and Exotic Animals,Yes,,2017-11-21,,No,Yes,2;3;4;5,https://irp-cdn.multiscreensite.com/55929d1f/files/uploaded/No.2017-17%2BCare%2Band%2BControl%2Bof%2BPoultry%2BLivestock%2Band%2BExotic%2BAnimals.pdf,,,,,,,NO,,,,,,
"Burlington, C",By-law 26-2022,Yes,1. e. (g) agricultural uses.,2022-03-22,,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/2022-By-laws/026-2022-By-law.pdf,,,,,,,By-law 93-2020,Yes,"see section 3.06 for full exemption details - <ahref=""https: acrobat.adobe.com="""" id="""" urn:aaid:sc:us:640d7de0-d4f5-45a9-9d08-63775dcd423d""="""">https://acrobat.adobe.com/id/urn:aaid:sc:US:640d7de0-d4f5-45a9-9d08-63775dcd423d</ahref=""https:>",2020-11-23,,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/2020-By-laws/093-2020-By-law.pdf,BY-LAW NUMBER 60-2005,No,,No,,No,Yes,No,,"noneotherwise 4 (cats and dogs inclusive), exempted where said animals are kept on land outside the Urban Planning Area, as defined in the city's Official Plan, and upon which agriculture is a permitted land use.",2005-06-13,,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/060-2005%20By-law.pdf,,No,,,,,,,,By-law 40-2022,No,,2022-04-19,,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/2022-By-laws/040-2022-By-law.pdf,YES,NO,YES,,,YES,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/024-2003-By-law.pdf
"Burpee and Mills, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 2013-05,No,,No,,No,Yes,No,,none,2013-07-03,,https://www.burpeemills.com/municipality/by-laws/,,,,,,,,,,,,,,,,NO,,,,,,
"Caledon, Tp",BY-LAW NO. 2019-31,Yes,"11. Exemptions(g) a non-residential agricultural building or structure,where ""agricultural building or structure"" means a building or structure that is used for the purposes of any use that is customarily associated with a farming operation of a bona fide farmer.",2019-05-29,2024-05-29,https://www.caledon.ca/uploads/14/Doc_637202992128221378.pdf?ts=638403932577045437,,,,,,,BY-LAW NUMBER 2007-59,No,,2007-05-15,,https://www.caledon.ca/uploads/14/Doc_637203057426383973.pdf?ts=638410145122754621,BY-LAW NO. 2019-43,No,,No,,No,Yes,No,,NOT KNOWN,2019-06-25,,https://www.caledon.ca/uploads/14/Doc_637203090570046185.pdf?ts=638422935375591806,By-law 2019-43Animal Care and Control,No,,2019-09-01,,,,,https://www.caledon.ca/uploads/14/Doc_637203090570046185.pdf?ts=638464398502354356,BY-LAW NO. 2000-100,Yes,"7.1 ISSUANCE OF PERMIT (iii) the destruction of the trees would permit the expansion of effective an existing agricultural operation and can be reasonably i. demonstrated to the director that: (a) the destruction of trees will provide for the reclaiming of and increase in productive farm land; (b) the woodland is on land that is contiguous with the agricultural operation; (c) the owner of the land is actively engaged in a viable agricultural operation and owns, actively works and resides on an agricultural operation; and (d) the destruction of trees does not occur within an Environmental Policy Area.",2000-07-31,,https://www.caledon.ca/uploads/14/Doc_635016160599217804.pdf?ts=638435155847269004,YES,YES,YES,YES,YES,YES,https://www.caledon.ca/uploads/14/Doc_637203042786136281.pdf
"Callander, M",By-law 2020-1641,Yes,8.1 Non-residential buildings used accessory to an agricultural operation shall be exempt from the Development Charge.,2020-02-25,2025-02-25,https://callander.civicweb.net/filepro/documents/50673/?preview=109712,,,,,,,,,,,,,BY-LAW NO. 2022-1734,No,,No,,No,Yes,Yes,No,,2022-02-22,,https://callander.civicweb.net/filepro/document/121661/Animal%20Control%20Bylaw%20-%20By-law%202022-1734.pdf,,,,,,,,,,not a by-law,No,,2019-02-26,,https://callander.civicweb.net/filepro/documents/search/search?keywords=cutting&amp;page=1&amp;preview=125444,YES,YES,NO,NO,,NO,https://callander.civicweb.net/document/89190
