Municipality,County,Tier,Region,DB Status,DB Bylaw Name,DB Date Enacted,DB Has LGD Def,Audit Result,Link Status,Bylaw Name Match,LGD Keywords Found,Snippet,Source URL,Website Bylaw Links Found,Notes
Oakville,Halton,Lower Tier,Central,COMPLETE,BY-LAW NUMBER 2018-006,2018-04-03,No,OUTDATED,200 OK,YES (exact),,,https://www.oakville.ca/getmedia/d4b6bdbf-689a-406a-9cfa-0ed30631fdb5/bylaw-2018-006-animal-control-consolidated.pdf?ext=.pdf,,"Newer bylaw detected: biting dog under a previous bylaw
of the Town, even where such by-law has been repealed, shall be deemed to
be a biting dog under this by-law and shall continue to be"
Pembroke,Renfrew,Single Tier,Eastern,NO BY-LAW IN PLACE,By-Law Number 2021-75,2021-12-21,No,NEEDS REVIEW,HTTP 404,,,,https://pembroke.ca/2021-75-Animal-Control-By-law.pdf,Animal Control Services (http://www.pembrokeontario.com/living-here/animal-control-services/),Had a bylaw link but it's now broken — may have been replaced
Perry,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,By-law #2006-01,2006-03-01,No,NO LGD PROVISIONS,200 OK,,,,https://townshipofperry.ca/wp-content/uploads/2021/12/2006-01-Keeping-and-Controlling-Dogs-1.pdf,,Has animal control bylaw but no LGD-specific provisions found
Otonabee-South Monaghan,Peterborough,Lower Tier,Central,NO BY-LAW IN PLACE,BY-LAW NUMBER 2021-28,2021-05-17,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.osmtownship.ca/media/m5njtdog/2021-28-dog-control-revised-dog-control-by-law.pdf,Animal Services (http://www.osmtownship.ca/resident-services/animal-services/),Has animal control bylaw but no LGD-specific provisions found
Pickering,Durham,Lower Tier,Central,COMPLETE,BY-LAW NO. 6811/07,2007-10-15,No,LINK BROKEN,HTTP 404,,,,https://www.pickering.ca/en/living/resources/as/ResponsiblePetBylaw-acc.pdf,Animal Services (https://www.pickering.ca/property-roads-safety/animal-services/),HTTP HTTP 404 — link may be dead
Point Edward,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Animal Control (http://www.villageofpointedward.com/community-services/animal-control),No bylaw link in DB but animal-related links found on website
Perth East,Perth,Lower Tier,Western,COMPLETE,"BY-LAW NUMBER 09-2017 (licensing dogs)
BY-LAW NUMBER 36-2022 (regulate dogs)
BY-LAW NUMBER 53-2008 (control noise)",2022-10-18,Yes,LINK BROKEN,HTTP 404,,,,https://www.pertheast.ca/Modules/Bylaws/Bylaw/Details/df08977f-8072-42a8-9fe3-7f99d42b2c20,,HTTP HTTP 404 — link may be dead
Plympton-Wyoming,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW Number 79 of 2013,2013-11-27,No,NEEDS REVIEW,HTTP 404,,,,https://www.plympton-wyoming.com/en/doing-business/resources/Dog-Licensing-By-law.pdf,Animal Control Services (http://plympton-wyoming.com/my-plympton-wyoming/animal-control-services/),Had a bylaw link but it's now broken — may have been replaced
Pickle Lake,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2012-18,2012-05-22,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://picklelake.ca/wp-content/uploads/2012/08/By-Law-2012-18-Dogs.pdf,,Has animal control bylaw but no LGD-specific provisions found
Powassan,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 2020-14,2020-05-05,No,NO LGD PROVISIONS,200 OK,,,,https://www.powassan.net/Uploads/Documents/MunicipalServices/ByLaws/2020/2020-14%20Licensing%20of%20dogs.pdf,,Has animal control bylaw but no LGD-specific provisions found
Puslinch,Wellington,Lower Tier,Western,COMPLETE,BY-LAW NUMBER 024-2021,2021-03-24,No,LINK BROKEN,HTTP 404,,,,https://puslinch.ca/wp-content/uploads/2021/04/BL2021-024-Kennel-Licensing-By-law-Final.pdf,,HTTP HTTP 404 — link may be dead
Parry Sound,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BYLAW 2013 - 6285,2017-03-01,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.parrysound.ca/media/kodndd0b/consolidated-dog-by-law-2013-6285.pdf,Animal Services (http://www.townofparrysound.com/town-services/animal-services/),Has animal control bylaw but no LGD-specific provisions found
Petrolia,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,,,,NO LGD PROVISIONS,200 OK,N/A (no name in DB),,,https://town.petrolia.on.ca/wp-content/uploads/2022/12/2022-update-to-process-explanation-animal-control-and-dog-licensing.pdf,,Has animal control bylaw but no LGD-specific provisions found
Opasatika,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,"DOGS AND CATS:
AN OWNER’S RESPONSABILITITY",,No,NO LGD PROVISIONS,200 OK,YES (fuzzy),,,https://www.opasatika.net/_files/ugd/0791fd_67a5569b8450452a8474c7db85f7f159.pdf,,Has animal control bylaw but no LGD-specific provisions found
Rainy River,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Petawawa,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY -LAW 174/2001,2001-04-17,No,NEEDS REVIEW,HTTP 404,,,,https://www.petawawa.ca/download.php?dl=YToyOntzOjI6ImlkIjtzOjM6IjI0NSI7czozOiJrZXkiO2k6MTt9,"Animal Control (https://petawawa.ca/living-here/animal-control/); Media Release – Ontario SPCA Renfrew County Animal Centre Receives $2,350 Donation from DocuPet (https://petawawa.ca/news/media-release-ontario-spca-renfrew-county-animal-centre)",Had a bylaw link but it's now broken — may have been replaced
Ramara,Simcoe,Lower Tier,Central,COMPLETE,BYLAW NO. 2005.76,2005-08-29,No,LINK BROKEN,HTTP 404,,,,https://www.ramara.ca/en/living-here/resources/Documents/2005_76caninecontrolbylaw.pdf,Animal Services (http://www.ramara.ca/living-here/animal-services/); Animal Services (https://www.ramara.ca/living-here/animal-services/#); Dog Licence (http://www.ramara.ca/living-here/animal-services/dog-licences/),HTTP HTTP 404 — link may be dead
Ryerson,Parry Sound,Single Tier,Northern,COMPLETE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,,No bylaw link stored in database
"Renfrew, T",Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW 17-2000,2000-02-14,No,NEEDS REVIEW,HTTP 404,,,,https://www.renfrew.ca/public_docs/bylaws/Consolidated%20Dog%20By-Law.pdf#https://www.renfrew.ca/public_docs/bylaws/Consolidated Dog By-Law.pdf,,Had a bylaw link but it's now broken — may have been replaced
Northern Bruce Peninsula,Bruce,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 2019-08,2019-02-11,Yes,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; guardian dog,"... ically alter it
so it will not reproduce.
“Veterinarian” means a person licensed under the Veterinarian Act in accordance with the
Animal Health Act, 2009, S.O. 2009, Chapter 31, as amended.
“Working/

 ---> LIVESTOCK GUARDIAN <--- 

 Dog” means a dog that is specifically trained to work and/or
live with domestic farm animals (i.e. cattle, sheep, goats, etc.) without causing them harm
while aggressively repelling predators.
SECTIO ...",https://www.northbrucepeninsula.ca/media/nvxdp0fg/by-law-2019-08-dog-regulations.pdf,,LGD keywords found in bylaw: livestock guardian; guardian dog
Red Rock,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2002-869,2002-10-07,No,NEEDS REVIEW,HTTP 404,,,,https://www.redrocktownship.com/wp-content/uploads/2018/08/by-law_2002-869-registration-pet.pdf,Licenses (Animal & Lottery) (http://redrocktownship.com/services/licenses-animal-lottery/),Had a bylaw link but it's now broken — may have been replaced
Russell,Prescott and Russell,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW 2018-062,2022-01-22,No,NEW LGD PROVISIONS,200 OK,YES (exact),working dog; [pattern: farm animals; and whereas the health protection and promotio],"... as bitten another domestic animal or person without provocation “wading pool” means a wading pool, used for children play, whether or not there is water and includes the concrete or asphalt decking; “

 ---> WORKING DOG <--- 

” means a dog that is trained specifically to assist police and other law enforcement personnel in their work. “without provocation” means in the absence of teasing, tormenting, abusing or assaulting ...",https://www.russell.ca/en/your-township/animal-care-and-control-by-law.aspx,Animal Services (http://www.russell.ca/en/services/animal-services.aspx),LGD keywords found in bylaw: working dog; [pattern: farm animals; and whereas the health protection and promotio]
Saugeen Shores,Bruce,Lower Tier,Western,NO BY-LAW IN PLACE,"By-law 36-2004
amended 2023",2004-05-10,No,NEEDS REVIEW,ERROR,,,,https://saugeenshores.civicweb.net/filepro/documents/42806/?preview=42813,Animal Services (http://www.saugeenshores.ca/home-property-and-environment/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Sarnia,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,"BY-LAW NUMBER 133 OF 2009
amended 2019",1992-12-21,No,NO LGD PROVISIONS,200 OK,NO,,,https://sarnia.civicweb.net/filepro/documents/40785/?preview=40794,,Has animal control bylaw but no LGD-specific provisions found
Schreiber,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,BYLAW 27-2021,2021-07-27,No,NO LGD PROVISIONS,200 OK,NO,,,https://schreiber.civicweb.net/filepro/documents/search/?keywords=animal&location=1&preview=43437,Animal Control (http://www.schreiber.ca/animal-control/); Animal License (http://www.schreiber.ca/animal-license-2/); Animal Shelter (http://www.schreiber.ca/animal-shelter/),Has animal control bylaw but no LGD-specific provisions found
Prince,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,By-law 2023-06,2023-03-14,No,NO LGD PROVISIONS,200 OK,,,,https://www.princetownship.ca/uploads/3/9/8/6/39869797/by-law_2023-06__licensing_of_dogs_and_cats.pdf,,Has animal control bylaw but no LGD-specific provisions found
Seguin,Parry Sound,Single Tier,Northern,COMPLETE,"BY-LAW NO. 2002-056
consolidated 2011",2012-01-01,No,LINK BROKEN,HTTP 404,,,,https://www.seguin.ca/en/township-services/resources/BL_By-law_Enforcement/BL-Bylaws-Consolidated-Dog-Regulation.pdf,,HTTP HTTP 404 — link may be dead
North Middlesex,Middlesex,Lower Tier,Western,NO BY-LAW IN PLACE,By-Law No. 090 of 2022,2022-09-07,Yes,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; guardian dog; herding dog; lgd,"... uinea fowl, swans, etc.), domestic rabbits (when
more than 3 rabbits are kept), horse, donkey, mule, bull, oxen, cow
or other cattle, goat, swine, sheep, llama, alpacas, mink, fox, emu,
ostrich.
14) “

 ---> LIVESTOCK GUARDIAN <--- 

 Dog” (LGD) shall mean a dog that works and/or
lives with domestic farm animals such as cattle, sheep and poultry to
protect them while repelling predators and is used on land legally
used for exclusi ...",https://www.northmiddlesex.on.ca/sites/default/files/2023-01/Animal%20Control%20By-law%20090%20of%202022%20with%20set%20fine%20order_1.pdf,Animal Services (http://www.northmiddlesex.on.ca/services/animal-services),LGD keywords found in bylaw: livestock guardian; guardian dog; herding dog
Sault Ste Marie,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 2019-117,2019-05-21,No,NEEDS REVIEW,HTTP 404,,,,https://saultstemarie.ca/Cityweb/media/Legal/BL/2019-117-Animal-Care-and-Control-Consolidated_1.pdf,2019-117 Animal Care & Control (https://saultstemarie.ca/wp-content/uploads/2025/03/2019-117-Animal-Care-and-Con),Had a bylaw link but it's now broken — may have been replaced
Sioux Narrows-Nestor Falls,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
"Peterborough, C",Peterborough,Single Tier,Central,NO BY-LAW IN PLACE,By-Law Number 21-112,2021-12-13,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://bylaws.peterborough.ca/bylaws/getFNDoc.do?class_id=20&document_id=13703,Animal Services (http://www.peterborough.ca/living-in-peterborough/animal-services/),Has animal control bylaw but no LGD-specific provisions found
Shelburne,Dufferin,Lower Tier,Central,NO BY-LAW IN PLACE,BY-LAW 15-2018,2018-03-26,No,NEEDS REVIEW,HTTP 404,,,,https://www.shelburne.ca/en/living-here/resources/Documents/animal-control-by-law-15-2018-Shelburne.pdf,,Had a bylaw link but it's now broken — may have been replaced
Selwyn,Peterborough,Lower Tier,Central,NO BY-LAW IN PLACE,By-law 2019-104,2019-12-10,No,NEEDS REVIEW,HTTP 404,,,,https://www.selwyntownship.ca/en/township-hall/resources/By-laws/2019-104---Animal-Control-By-law.pdf,,Had a bylaw link but it's now broken — may have been replaced
Severn,Simcoe,Lower Tier,Central,NO BY-LAW IN PLACE,BY-LAW NO. 2020-62,2023-12-06,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://severn.civicweb.net/filepro/documents/18464/?preview=18465,,Has animal control bylaw but no LGD-specific provisions found
Port Colborne,Niagara,Lower Tier,Central,COMPLETE,BY-LAW NO. 4930/155/06,2006-12-11,No,NEEDS REVIEW,200 OK,,,,https://www.portcolborne.ca/en/city-hall/resources/Documents/By-Laws/4930%20155%2006.pdf,Animals Services (http://www.portcolborne.ca/en/living-here/animals-services.aspx),Link live but bylaw name not found in document — may have been replaced
Port Hope,Northumberland,Lower Tier,Central,NO BY-LAW IN PLACE,BY-LAW NO. 60/2022,2022-09-06,No,NEW LGD PROVISIONS,200 OK,YES (exact),livestock guardian; working dog,"... is off the premise of the Owner.
q) “Working Dog” shall mean any of various breeds of dogs developed or
trained to perform useful work to assist humans (i.e. herding animals,
pulling wagons or sleds, 

 ---> LIVESTOCK GUARDIAN <--- 

, or guarding property) and
excludes hunting dogs.
3. LICENSING PROVISIONS:
3.1 No person shall own, retain, possess, harbour or keep any dog within the
Municipality for longer than fourteen (14) days ...",https://www.porthope.ca/en/your-municipal-government/resources/By-Laws/By-Laws/_Frequently-Requested-By-Laws/By-law%2060-2022%20-%20Animal%20Control%20By-law.pdf,Animal Services (http://www.porthope.ca/en/living-here/animal-services.aspx),LGD keywords found in bylaw: livestock guardian; working dog
Prescott,Leeds and Grenville,Single Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 05-2021,2021-02-01,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.prescott.ca/media/ujapqmsv/by-law-05-2021-animal-control-bylaw.pdf,Animal Control (https://www.prescott.ca/our-community/animal-control/);  (https://www.prescott.ca/our-community/animal-control/#),Has animal control bylaw but no LGD-specific provisions found
Orangeville,Dufferin,Lower Tier,Central,COMPLETE,BY-LAW NUMBER 2024-026,2024-04-01,No,OUTDATED,200 OK,YES (exact),working dog,"... son who owns, keeps, or has custody of an animal and where the
owner is a minor, the person responsible for the custody of the minor;
(b) a person who is temporarily the keeper of the animal;
""Police 

 ---> WORKING DOG <--- 

"" means a dog trained and actually engaged in law
enforcement by any federal, provincial, or municipal government agency;
3
""Pound"" means any premise or facility, or part thereof used by the Town for ...",https://www.orangeville.ca/Modules/Bylaws/Bylaw/Download/63caeeda-cfa0-42e9-8041-ce037fec7ff6,Animal Control and Licencing (http://www.orangeville.ca/en/living-here/animal-control-and-licensing.aspx),"Newer bylaw detected: al
25.1 That By-laws 68-2000, 48-2003,2020-061,2021-034 and 2023-094 are hereby
repealed.
26. Effective Date
26.1 This By-law shall come into effect on April 29,2024
19"
Sables-Spanish Rivers,Sudbury,Single Tier,Northern,NO BY-LAW IN PLACE,BYLAW NUMBER 2013 - 36,2013-11-13,No,NO LGD PROVISIONS,200 OK,NO,,,https://sables-spanish.ca/wp-content/uploads/2018/03/Animal-Control-Bylaw-2013.pdf,Animal Control (https://www.sables-spanish.ca/living-here/animal-control/),Has animal control bylaw but no LGD-specific provisions found
Sioux Lookout,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 09-23,2023-05-17,No,NEEDS REVIEW,HTTP 404,,,,https://www.siouxlookout.ca/en/resources/by-laws/frequent/09-23-To-Regulate-the-Keeping-of-Animals-Within-the-Municipality-of-Sioux-Lookout.pdf,Animal Control (http://www.siouxlookout.ca/services/animal-control),Had a bylaw link but it's now broken — may have been replaced
Quinte West,Hastings,Single Tier,Eastern,COMPLETE,ByJaw Number l6-139,2016-11-07,No,OUTDATED,200 OK,YES (exact),,,https://quintewest.ca/wp-content/uploads/2021/02/By-law-16-139-Animal-Regulation-By-law.pdf,Animals + pets (https://quintewest.ca/community-services/animals-pets/),"Newer bylaw detected: the most restrictive provisions shall apply
9 Repeal
9.1
By-law 04-15 is hereby repealed.
10.
Effective Date
10.1
This By-law takes effect and comes into force upon fin"
Smiths Falls,Lanark,Single Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 8856-2016,2016-05-02,No,NEEDS REVIEW,HTTP 404,,,,https://www.smithsfalls.ca/en/town-hall/resources/Documents/Bylaws/Animal-Control-By-law-8856-2016.pdf,Animal Control and Services (http://www.smithsfalls.ca/living-here/animal-control-and-services/),Had a bylaw link but it's now broken — may have been replaced
South Bruce,Bruce,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW 2018-39,2018-06-12,Yes,NEEDS REVIEW,HTTP 404,,,,https://www.southbruce.ca/en/A-PDF-Forms/Bylaws/By-Law-2018-39-Animal-Control.pdf,,Had a bylaw link but it's now broken — may have been replaced
Scugog,Durham,Lower Tier,Central,COMPLETE,"BY-LAW NUMBER 85-08
amended 2012",2008-10-06,No,OUTDATED,200 OK,YES (number_match),,,https://www.scugog.ca/media/jptpc11e/animal_control_by-law_85-08.pdf,,"Newer bylaw detected: y-Law as they relate to restricted Animals.
14.2 By-Law Number 141-05 is hereby repealed.
15
14.3 This By-Law shall come into full force and effect on the day of
passin"
Southgate,Grey,Lower Tier,Western,COMPLETE,By-law number 2020-078,2020-08-05,No,LINK BROKEN,HTTP 404,,,,https://www.southgate.ca/en/municipal-services/resources/ByLaw/By-law-2020-078---Canine-Control-By-law.pdf,,HTTP HTTP 404 — link may be dead
South Glengarry,"Stormont, Dundas and Glengarry",Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2 3 -2022,2022-04-18,No,NEEDS REVIEW,HTTP 404,,,,https://www.southglengarry.com/en/municipal-services/resources/Documents/23-2022--Animal-Control--By-law.pdf,,Had a bylaw link but it's now broken — may have been replaced
South Huron,Huron,Lower Tier,Western,COMPLETE,By-Law 21-2018,,No,LINK BROKEN,HTTP 404,,,,https://www.southhuron.ca/en/government/resources/Commonly-Requested-By-Laws/Animal-Control-By-Law--21-2018---Office-Consolidation.pdf,Animal Control & Wildlife Concerns (https://www.southhuron.ca/services/animal-control-wildlife-concerns/),HTTP HTTP 404 — link may be dead
South Algonquin,Nipissing,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 12-430,2012-12-06,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://www.southalgonquin.ca/wp-content/uploads/2020/12/12-430-Keeping-of-Dogs.pdf,,Has animal control bylaw but no LGD-specific provisions found
South-West Oxford,Oxford,Lower Tier,Western,COMPLETE,By-law No. 76-2017,2018-01-01,No,LINK BROKEN,HTTP 404,,,,https://www.swox.org/76-2017---Animal-Care-and-Control-By-law---Consolidated-2023.pdf,Animal Care and Control (http://www.swox.org/living-here/animal-care-and-control/),HTTP HTTP 404 — link may be dead
South Stormont,"Stormont, Dundas and Glengarry",Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 2021-032,2021-04-14,No,NEEDS REVIEW,HTTP 404,,,,https://www.southstormont.ca/Modules/Bylaws/Bylaw/Download/0fe0bdb9-ef55-4eb1-a40b-a2ef88d18e66,Animal Services (http://southstormont.ca/home-property/animal-services/); Animal Services (https://www.southstormont.ca/home-property/animal-services/); License My Dog (http://southstormont.ca/home-property/animal-services/dog-tags/),Had a bylaw link but it's now broken — may have been replaced
Spanish,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Animal Control/By-Law Enforcement (https://www.townofspanish.com/municipal-departments/animal-control/),No bylaw link in DB but animal-related links found on website
Prince Edward County,Prince Edward,Single Tier,Eastern,NO BY-LAW IN PLACE,"BY-LAW NO. 2958-2011
amended in 2023",2011-11-08,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://princeedwardcounty.civicweb.net/document/70504/,,Has animal control bylaw but no LGD-specific provisions found
Southwold,Elgin,Lower Tier,Western,COMPLETE,"BY-LAW NO. 2013-30
amended 2021",2013-01-01,No,OUTDATED,200 OK,YES (number_match),"[pattern: exemptions part 3: keeping of dogs part 4: licensing part 5:]; [pattern: guard dog"" shall mean a dog used for security purposes on la]","...n the meaning of the Municipal Act, 2001, as amended; Table of Contents PART 1: DEFINITIONS PART 2: EXEMPTIONS PART 3: KEEPING OF DOGS PART 4: LICENSING PART 5: KENNELS PART 6: FEES PART 7: IMPOUNDING PART 8: ENFORCEMENT PART 9: NO LIABILITY FOR DAMAGES PART 10: TRANSITION PART 11: REPEAL - ENACTMENT PART 12: SCHEDULE ""A"" THEREFORE THE COUNCIL OF THE CORPORATION OF THE TOWNSHIP OF SOUTHWOLD ENACTS AS FOLLOWS: 1. DEFINITIONS 1.1. ""Animal Control Officer"" shall mean a person(s) appointed by the",https://www.southwold.ca/en/municipal-office/2013-30-dog-by-law.aspx,,Newer bylaw detected: any other By-law in contravention with the provisions of this By-law are hereby repealed. 11.3 If a Court of competent jurisdiction should determine that any section or
Rideau Lakes,Leeds and Grenville,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW 2012-3,2012-02-06,No,NEW LGD PROVISIONS,200 OK,YES (exact),working dog,"... e, and that has the
qualifications prescribed by the Ontario Service Dogs Act, 2016;
c) a dog used by police services or law enforcement agencies for the
purpose of work conducted of a peace officer.


 ---> WORKING DOG <--- 

 – shall mean a dog trained to work with livestock for
repelling predators or herding and shall mean Border Collies, Australian
Shepherds, Blu & Red Heelers, Huntaways, Great Pyrenees, Akbash,
Kuvasz, ...",https://www.rideaulakes.ca/component/edocman/?task=document.viewdocument&id=297,Animal Control (http://www.twprideaulakes.on.ca/live/services/animal-control),LGD keywords found in bylaw: working dog
Springwater,Simcoe,Lower Tier,Central,COMPLETE,By-law 2020-080,2020-10-21,No,LINK BROKEN,HTTP 404,,,,https://www.springwater.ca/en/township-hall/resources/Documents/By-laws/2020-080-Animal-Control-By-law.pdf,Animal Services (http://www.springwater.ca/living-here/animal-services/),HTTP HTTP 404 — link may be dead
St Catharines,Niagara,Lower Tier,Central,NO BY-LAW IN PLACE,"BY-LAW NO. 95-302 (Licensing and Regulating)
BY-LAW NO. 2005-310  (Number of Dogs)",1995-09-11,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://stcatharines.civicweb.net/filepro/documents/795/?preview=1301,Dog Licences (http://www.stcatharines.ca/en/by-laws-and-animal-services/dog-licences.aspx?_mid); By-laws and Animal Services (http://www.stcatharines.ca/en/by-laws-and-animal-services/by-laws-and-animal-ser); Animal Services and Control (http://www.stcatharines.ca/en/by-laws-and-animal-services/animal-services-and-co),Has animal control bylaw but no LGD-specific provisions found
Stratford,Perth,Single Tier,Western,COMPLETE,BY-LAW NUMBER 195-2002,2002-10-28,No,LINK BROKEN,HTTP 404,,,,https://www.stratford.ca/en/inside-city-hall/resources/Animal-Control/Animal-Control-Bylaw.pdf,Animal Control (https://www.stratford.ca/en/inside-city-hall/animal-control-bylaw-review.aspx),HTTP HTTP 404 — link may be dead
St Marys,Perth,Single Tier,Western,COMPLETE,"BY-LAW 56-2023
Animal Control By-Law",2023-05-23,No,LINK BROKEN,HTTP 404,,,,https://www.townofstmarys.com/en/town-services/resources/Documents/By-laws/56-2023-Animal-Control.pdf,Animal Services (http://www.townofstmarys.com/home-property-roads/animal-services/),HTTP HTTP 404 — link may be dead
Stirling-Rawdon,Hastings,Lower Tier,Eastern,NO BY-LAW IN PLACE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Animal Control (http://www.stirling-rawdon.com/living-here/animal-control/),No bylaw link in DB but animal-related links found on website
South Frontenac,Frontenac,Lower Tier,Eastern,NO BY-LAW IN PLACE,"BY-LAW 2001-66
amended 2022",2023-02-07,Yes,NEEDS REVIEW,HTTP 404,,,,https://www.southfrontenac.net/en/town-hall/resources/By-law-2001-66-Dog-Control.pdf,,Had a bylaw link but it's now broken — may have been replaced
Stone Mills,Lennox and Addington,Lower Tier,Eastern,NO BY-LAW IN PLACE,By-law Number 2010-532,2010-05-17,No,NEEDS REVIEW,HTTP 404,,,,https://www.stonemills.com/sites/default/files/Stone-Mills/Resources/bylaw/Bylaw_2010-532-dog_licence.pdf,Animal Services (https://www.stonemills.com/living-here/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Shuniah,Thunder Bay,Single Tier,Northern,NO BY-LAW IN PLACE,By-law No. 1951-98 (Dog Licensing & Leashing),1998-09-10,No,NO LGD PROVISIONS,200 OK,YES (number_match),,,https://www.shuniah.org/wp-content/uploads/2022/06/Dog-Licencing-and-Leashing-1951-98.pdf,Animal Services (https://www.shuniah.org/directory-category/animal-services/),Has animal control bylaw but no LGD-specific provisions found
Strathroy-Caradoc,Middlesex,Lower Tier,Western,COMPLETE,BY-LAW 60-09,2009-11-16,No,LINK BROKEN,HTTP 404,,,,https://www.strathroy-caradoc.ca/en/resourcesGeneral/Bylaw6009-AnimalCareandControl.pdf,Animal Services (https://www.strathroy-caradoc.ca/living-in-strathroy-caradoc/animal-services/),HTTP HTTP 404 — link may be dead
Red Lake,Kenora,Single Tier,Northern,NO BY-LAW IN PLACE,By-law No. 27-2021,2021-04-19,No,NO LGD PROVISIONS,200 OK,,,,https://doc.redlake.ca/pdf/bylaw/bl27-2021.pdf,Animal Control (http://www.red-lake.com/living-here/animal-control/),Has animal control bylaw but no LGD-specific provisions found
Tay Valley,Lanark,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NO. 01-50,2001-10-23,No,NEEDS REVIEW,HTTP 404,,,,https://www.tayvalleytwp.ca/Modules/Bylaws/Bylaw/Download/f9672eda-ca88-47d9-a815-b30dd62dfa22,Animal Control (http://www.tayvalleytwp.ca/living-here/animal-control/); Dog Licenses (http://www.tayvalleytwp.ca/living-here/animal-control/owning-a-pet/?_mid_=10906),Had a bylaw link but it's now broken — may have been replaced
Strong,Parry Sound,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW #2016-009,2016-04-12,No,NEEDS REVIEW,HTTP 404,,,,https://www.strongtownship.com/en/local-government/resources/By-laws/Dog-By-law-2016-009_fee-update-2021_amended-2021.pdf,Animal Services (http://www.strongtownship.com/living-here/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Tehkummah,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW #2019-34,2020-12-04,No,NO LGD PROVISIONS,200 OK,,,,https://tehkummah.ca/wp-content/uploads/2020/02/Bylaw-2019-034-Animal-Control-REVISED-Feb-4-2020.pdf,,Has animal control bylaw but no LGD-specific provisions found
St Clair,Lambton,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NUMBER 12 of 2009,2009-04-06,No,NO LGD PROVISIONS,200 OK,,,,https://www.stclairtownship.ca/wp-content/uploads/B-L-12-of-2009-Animal-Control-as-amended-by-B-L-7-of-2023.pdf,Animal Control (https://www.stclairtownship.ca/government/departments-2/animal-control/),Has animal control bylaw but no LGD-specific provisions found
Tarbutt,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW 6-2013,2013-12-18,Yes,NO LGD PROVISIONS,200 OK,,,,https://tarbutt.ca/wp-content/uploads/2022/01/dogbylaw.pdf,,Has animal control bylaw but no LGD-specific provisions found
